Visitor,Attraction,Visit Time,Start Time,End Time
Erkan,Iguazú,2,2,4
Xiaoshuang,Iguazú,2,2,4
Benone,Iguazú,2,2,4
Tlaytmass,Iguazú,2,2,4
Soukina,Iguazú,2,2,4
Ihintza,Iguazú,2,2,4
Luxi,Iguazú,2,2,4
Karola,Triton_Rapids,2,2,4
Veneranda,Triton_Rapids,2,2,4
Reynalda,Carrousel,2,2,4
Uxua,Iguazú,2,2,4
Doradia,Triton_Rapids,2,2,4
Souaad,Iguazú,2,2,4
Solanyi,Iguazú,2,2,4
Sura,Iguazú,2,2,4
Jake,Iguazú,2,2,4
Danyil,Triton_Rapids,2,2,4
Jose,Triton_Rapids,2,2,4
Mamma,Iguazú,2,2,4
Youssouph,Triton_Rapids,2,2,4
Rosario,Carrousel,2,2,4
Rhut,Iguazú,2,2,4
Belisaria,Iguazú,2,2,4
Cuiping,Iguazú,2,2,4
Natali,Iguazú,2,2,4
Leiane,Carrousel,2,2,4
Auria,Triton_Rapids,2,2,4
Emilda,Iguazú,2,2,4
Orbelinda,Iguazú,2,2,4
Itto,Iguazú,2,2,4
Zilin,Iguazú,2,2,4
Ibrahim,Iguazú,2,2,4
Jerai,Iguazú,2,2,4
Yisel,Triton_Rapids,2,2,4
Nenita,Iguazú,2,2,4
Danya,Iguazú,2,2,4
Shengli,Iguazú,2,2,4
Tamires,Triton_Rapids,2,2,4
Ismel,Iguazú,2,2,4
Nasma,Iguazú,2,2,4
Elektra,Triton_Rapids,2,2,4
Erena,Carrousel,2,2,4
Qaiser,Carrousel,2,2,4
Yahel,Iguazú,2,2,4
Hongjun,Iguazú,2,2,4
Jasmine,Iguazú,2,2,4
Ion,Triton_Rapids,2,2,4
Wilhelm,Iguazú,2,2,4
Andleeb,Carrousel,2,2,4
Baljit,Carrousel,2,2,4
Jaiver,Iguazú,2,2,4
Aqeel,Triton_Rapids,2,2,4
Servanda,Iguazú,2,2,4
Eleftheria,Carrousel,2,2,4
Dragan,Carrousel,2,2,4
Isam,Triton_Rapids,2,2,4
Ann,Triton_Rapids,2,2,4
Maryia,Iguazú,2,2,4
Yueying,Carrousel,2,2,4
Aniano,Triton_Rapids,2,2,4
Magin,Triton_Rapids,2,2,4
